Ticker,Company name,Producer?,Country,Minerals,Quarterly Report (Dec. 2014),Annual Report 2014
AAI,ALCOA INC.,Y,Guinea,Bauxite,http://www.asx.com.au/asxpdf/20150113/pdf/42vz7kg2dtrn3g.pdf,http://www.alcoa.com/global/en/investment/pdfs/2014_Annual_Report.pdf
ACB,A-CAP RESOURCES LIMITED,N,Botswana,Coal;Uranium,http://www.asx.com.au/asxpdf/20150130/pdf/42w9vwl08t0jw1.pdf,http://www.asx.com.au/asxpdf/20140919/pdf/42sbgmcnk9fh1s.pdf
AEE,AURA ENERGY LIMITED,N,Mauritania,Uranium,http://www.asx.com.au/asxpdf/20150130/pdf/42w88rv6slg8y5.pdf,http://www.asx.com.au/asxpdf/20140930/pdf/42skyp3t0ybk8m.pdf
AFR,AFRICAN ENERGY RESOURCES LIMITED,N,Botswana,Coal,http://www.asx.com.au/asxpdf/20141103/pdf/42tg07phcsk6lg.pdf,http://www.asx.com.au/asxpdf/20141030/pdf/42tbczc08t4hp2.pdf
AFR,AFRICAN ENERGY RESOURCES LIMITED,N,Zambia,Coal;Uranium,http://www.asx.com.au/asxpdf/20141103/pdf/42tg07phcsk6lg.pdf,http://www.asx.com.au/asxpdf/20141030/pdf/42tbczc08t4hp2.pdf
AGG,ANGLOGOLD ASHANTI LIMITED,Y,South Africa,Gold;Uranium,http://www.asx.com.au/asxpdf/20150223/pdf/42wsqsj1n5ghn5.pdf,http://www.aga-reports.com/14/download/AGA-IR14.pdf
AGG,ANGLOGOLD ASHANTI LIMITED,Y,DR Congo,Gold,http://www.asx.com.au/asxpdf/20150223/pdf/42wsqsj1n5ghn5.pdf,http://www.aga-reports.com/14/download/AGA-IR14.pdf
AGG,ANGLOGOLD ASHANTI LIMITED,Y,Ghana,Gold,http://www.asx.com.au/asxpdf/20150223/pdf/42wsqsj1n5ghn5.pdf,http://www.aga-reports.com/14/download/AGA-IR14.pdf
AGG,ANGLOGOLD ASHANTI LIMITED,Y,Guinea,Gold,http://www.asx.com.au/asxpdf/20150223/pdf/42wsqsj1n5ghn5.pdf,http://www.aga-reports.com/14/download/AGA-IR14.pdf
AGG,ANGLOGOLD ASHANTI LIMITED,Y,Mali,Gold,http://www.asx.com.au/asxpdf/20150223/pdf/42wsqsj1n5ghn5.pdf,http://www.aga-reports.com/14/download/AGA-IR14.pdf
AGG,ANGLOGOLD ASHANTI LIMITED,Y,Tanzania,Gold,http://www.asx.com.au/asxpdf/20150223/pdf/42wsqsj1n5ghn5.pdf,http://www.aga-reports.com/14/download/AGA-IR14.pdf
