Country name,Licenses,Mines and operations,Fatalities
Algeria,1,0,0
Angola,2,1,0
Botswana,97,1,2
Burkina Faso,114,1,0
Cameroon,1,0,0
Côte d'Ivoire,30,2,0
DR Congo,24,1,77
Egypt,3,0,0
Eritrea,3,0,0
Ethiopia,4,0,0
Gabon,7,0,0
Ghana,74,5,26
Guinea,5,3,6
Kenya,2,1,0
Liberia,8,0,0
Madagascar,93,1,1
Malawi,16,2,5
Mali,43,5,6
Mauritania,35,0,0
Morocco,29,0,0
Mozambique,41,0,2
Namibia,49,2,2
Niger,7,0,0
Nigeria,17,0,0
Rep. of the Congo,9,0,0
Senegal,18,2,0
Sierra Leone,23,0,0
South Africa,292,31,242
Tanzania,366,2,5
Tunisia,1,0,0
Uganda,15,0,0
Zambia,34,0,2
Zimbabwe,39,4,11
